id,name,nickname,description,code,alphaVal,numVal,cat,subcat,root,halfTurn,fullTurn,beginsOn,endsOn,beginsFacing,endsFacing,startGrip,endGrip,isShaposh
0,Jump to LB,,Glide Kip to support on LB,1.101,A,1,Mounts,,,0,0,,low,,low,,regular,0
1,Jump to LB facing HB,,Glide Kip to support on LB,1.101,A,1,Mounts,,,0,0,,low,,high,,regular,0
2,Jump to HB,,Jump to hang on HB,1.104,A,1,Mounts,,,0,0,,high,,high,,regular,0
3,Jump to HB facing LB,,Jump to hang on HB,1.104,A,1,Mounts,,,0,0,,high,,low,,regular,0
4,Cast to hstd,,Cast to hstd with legs straddled or with hips bent,2.101,A,1,Casts,,,0,0,either,same,either,same,regular,regular,0
5,Cast w/ change to reverse grip,,Cast to hstd with legs straddled or with hips bent with hop-grip change,2.101,A,1,Casts,,,0,0,either,same,either,same,regular,reverse,0
6,Cast w/ change to L grip,,Cast to hstd with legs straddled or with hips bent with hop-grip change,2.101,A,1,Casts,,,0,0,either,same,either,same,regular,L,0
7,Cast to hstd w/ legs together,,Cast to hstd with legs together and hips extended,2.201,B,2,Casts,,,0,0,either,same,either,same,regular,regular,0
8,Cast to hstd w/ legs together w/ change to reverse grip,,Cast to hstd with legs together and hips extended with hop-grip change,2.201,B,2,Casts,,,0,0,either,same,either,same,regular,reverse,0
9,Cast to hstd w/ legs together w/ change to L grip,,Cast to hstd with legs together and hips extended with hop-grip change,2.201,B,2,Casts,,,0,0,either,same,either,same,regular,L,0
10,Cast 1/2,,Cast to hstd with 1/2 turn (180 deg) legs together or straddled,2.201,B,2,Casts,,,1,0,either,same,either,other,regular,regular,0
11,Cast 1/2 to reverse grip,,Cast to hstd with 1/2 turn (180 deg) legs together or straddled,2.201,B,2,Casts,,,1,0,either,same,either,other,regular,reverse,0
12,Cast 1/2 to L grip,,Cast to hstd with 1/2 turn (180 deg) legs together or straddled,2.201,B,2,Casts,,,1,0,either,same,either,other,regular,L,0
13,Cast 1/1,,Cast with 1/1 turn (360 deg) to hstd,2.301,C,3,Casts,,,1,1,either,same,either,same,regular,regular,0
14,Cast 3/2,,Cast with 1 1/2 turn (540 deg) to hstd,2.401,D,4,Casts,,,1,1,either,same,either,other,regular,regular,0
15,Cast 3/2 to reverse grip,,Cast with 1 1/2 turn (540 deg) to hstd,2.401,D,4,Casts,,,1,1,either,same,either,other,regular,reverse,0
16,Cast 3/2 to L grip,,Cast with 1 1/2 turn (540 deg) to hstd,2.401,D,4,Casts,,,1,1,either,same,either,other,regular,L,0
17,Comaneci,,Front support on HB – cast with salto fwd straddled to hang on HB,2.503,E,5,Release Moves,,,0,0,high,same,either,same,regular,regular,0
18,Clear hip fwd,Weiler,Clear hip circle fwd to hstd,2.404,D,4,Pirouettes,,Clear hip fwd,0,0,either,same,either,same,reverse/L,reverse/L,0
19,Clear hip fwd 1/2,Weiler 1/2,Clear hip circle fwd to hstd with 1/2 turn (180 deg) in hstd phase,2.404,D,4,Pirouettes,,Clear hip fwd,1,0,either,same,either,other,reverse/L,regular,0
20,Clear hip bwd,,Clear hip circle to hstd,2.305,C,3,Pirouettes,,Clear hip bwd,0,0,either,same,either,same,regular,regular,0
21,Clear hip bwd w/ change to reverse grip,,Clear hip circle to hstd with hop-grip change in hstd phase,2.305,C,3,Pirouettes,,Clear hip bwd,0,0,either,same,either,same,regular,reverse,0
22,Clear hip bwd w/ change to L grip,,Clear hip circle to hstd with hop-grip change in hstd phase,2.305,C,3,Pirouettes,,Clear hip bwd,0,0,either,same,either,same,regular,L,0
23,Clear hip bwd 1/2,,Clear hip circle with 1/2 turn (180 deg) to hstd,2.305,C,3,Pirouettes,,Clear hip bwd,1,0,either,same,either,other,regular,regular,0
24,Clear hip bwd 1/2 to reverse grip,,Clear hip circle with 1/2 turn (180 deg) to hstd,2.305,C,3,Pirouettes,,Clear hip bwd,1,0,either,same,either,other,regular,reverse,0
25,Clear hip bwd 1/2 to L grip,,Clear hip circle with 1/2 turn (180 deg) to hstd,2.305,C,3,Pirouettes,,Clear hip bwd,1,0,either,same,either,other,regular,L,0
26,Clear hip bwd 1/1,,Clear hip circle with 1/1 turn (360 deg) to hstd,2.405,D,4,Pirouettes,,Clear hip bwd,1,1,either,same,either,same,regular,regular,0
27,Clear hip bwd 3/2,,Clear hip circle with 1 1/2 turn (540 deg) to hstd,2.505,E,5,Pirouettes,,Clear hip bwd,1,1,either,same,either,other,regular,regular,0
28,Clear hip bwd 3/2 to reverse grip,,Clear hip circle with 1 1/2 turn (540 deg) to hstd,2.505,E,5,Pirouettes,,Clear hip bwd,1,1,either,same,either,other,regular,reverse,0
29,Clear hip bwd 3/2 to L grip,,Clear hip circle with 1 1/2 turn (540 deg) to hstd,2.505,E,5,Pirouettes,,Clear hip bwd,1,1,either,same,either,other,regular,L,0
30,Clear hip shoot to HB,,Clear underswing on LB -  release and counter movement fwd in flight to hang on HB,2.206,B,2,Transitions,,Clear hip bwd,0,0,low,other,high,same,regular,regular,0
31,Clear hip Shaposh,Shaposhnikova,Inner front support on LB – clear hip circle through hstd with flight to hang on HB,2.406,D,4,Transitions,,Clear hip bwd,0,0,low,other,low,same,regular,regular,1
32,Clear hip Tkatchev,Hindorff,Clear hip circle on HB - counter straddle over HB to hang on HB,2.506,E,5,Release Moves,,Clear hip bwd,0,0,high,same,either,same,regular,regular,0
33,Clear hip Shaposh 1/2,Khorkina,Clear hip circle through hstd with 1/2 turn (180 deg) in flight to hang on HB,2.506,E,5,Transitions,,Clear hip bwd,1,0,low,other,low,other,regular,regular,0
34,Clear hip piked Tkatchev,Shang,Clear hip circle on HB - counter pike over HB to hang on HB,2.606,F,6,Release Moves,,Clear hip bwd,0,0,high,same,either,same,regular,regular,0
35,Clear hip hecht,,Outer front support – clear hip circle bwd on LB with hecht to hang on HB (legs together or straddled),2.307,C,3,Transitions,,Clear hip bwd,0,0,low,other,high,same,regular,regular,0
36,Clear hip hecht 1/2,,Outer front support – clear hip circle bwd on LB with hecht to hang on HB with 1/2 turn (180 deg) (legs together or straddled),2.307,C,3,Transitions,,Clear hip bwd,1,0,low,other,high,other,regular,regular,0
37,Giant bwd,,Giant circle bwd in regular grip,3.201,B,2,Pirouettes,,Giant,0,0,high,same,either,same,regular,regular,0
38,One-armed giant bwd,,Giant circle bwd in regular grip on one arm,3.201,B,2,Pirouettes,,Giant,0,0,high,same,either,same,regular,regular,0
39,Giant bwd 1/2,,Giant circle bwd with 1/2 turn (180 deg) to hstd,3.201,B,2,Pirouettes,,Giant,1,0,high,same,either,other,regular,regular,0
40,Giant bwd 1/2 to reverse grip,,Giant circle bwd with 1/2 turn (180 deg) to hstd,3.201,B,2,Pirouettes,,Giant,1,0,high,same,either,other,regular,reverse,0
41,Giant bwd 1/2 to L grip,,Giant circle bwd with 1/2 turn (180 deg) to hstd,3.201,B,2,Pirouettes,,Giant,1,0,high,same,either,other,regular,L,0
42,Giant bwd 1/1,,Giant circle bwd with 1/1 turn (360 deg) to hstd,3.301,C,3,Pirouettes,,Giant,1,1,high,same,either,same,regular,regular,0
43,Giant bwd 3/2,,Giant circle bwd with 1 1/2 turn (540 deg) to hstd,3.401,D,4,Pirouettes,,Giant,1,1,high,same,either,other,regular,regular,0
44,Giant bwd 3/2 to reverse grip,,Giant circle bwd with 1 1/2 turn (540 deg) to hstd,3.401,D,4,Pirouettes,,Giant,1,1,high,same,either,other,regular,reverse,0
45,Giant bwd 3/2 to L grip,,Giant circle bwd with 1 1/2 turn (540 deg) to hstd,3.401,D,4,Pirouettes,,Giant,1,1,high,same,either,other,regular,L,0
46,Giant bwd 2/1,,Giant circle bwd with 2/1 turn (720 deg) to hstd,3.401,D,4,Pirouettes,,Giant,1,1,high,same,either,same,regular,regular,0
47,Giant bwd hop 1/1,,Giant circle bwd with hop 1/1 turn (360 deg) to hstd,3.401,D,4,Pirouettes,,Giant,1,1,high,same,either,same,regular,regular,0
48,Bail to LB,,Hang on HB – Swing fwd with 1/2 turn (180 deg) and flight to hstd,3.402,D,4,Transitions,,Giant,1,0,high,other,low,other,regular,regular,0
49,Bail 1/1,Strong,Hang on HB – Swing fwd with 1 1/2 turn (540 deg) and flight over LB to hang on LB,3.502,E,5,Transitions,,Giant,1,0,high,other,low,other,regular,regular,0
50,Tkatchev,,Long swing fwd - counter straddle reverse hecht over HB to hang,3.403,D,4,Release Moves,,Giant,0,0,high,same,either,same,regular,regular,0
51,Piked Tkatchev,,Tkatchev piked,3.503,E,5,Release Moves,,Giant,0,0,high,same,either,same,regular,regular,0
52,Tkatchev 1/2,,Tkatchev with 1/2 turn (180 deg),3.503,E,5,Release Moves,,Giant,1,0,high,same,either,other,regular,reverse/L,0
53,Shushunova,,Long swing fwd with 1/2 turn (180 deg) - 1/2 turn (180 deg) to counter straddle in flight over HB to hang,3.503,E,5,Release Moves,,Giant,1,0,high,same,either,same,regular,regular,0
54,Pak salto,,Hang on HB facing LB – swing fwd; salto bwd stretched between bars to clear support on LB,3.404,D,4,Transitions,,Giant,0,0,high,other,low,same,regular,regular,0
55,Pak 1/1,Bhardwaj,Pak Salto with 1/1 turn (360 deg),3.504,E,5,Transitions,,Giant,1,0,high,other,low,same,regular,regular,0
56,Counter-Kim,,Facing outward on HB - swing fwd and counter salto fwd with legs straddled to catch HB in reverse grip,3.604,F,6,Release Moves,,Giant,0,0,high,same,either,same,regular,reverse/L,0
57,Deltchev,,Swing fwd with 1/2 turn (180 deg) and salto fwd straddled – to hang on HB,3.405,D,4,Release Moves,,Giant,1,0,high,same,either,other,regular,regular,0
58,Piked Gienger,,Swing fwd and salto bwd with 1/2 turn (180 deg) piked – to hang on HB,3.405,D,4,Release Moves,,Giant,1,0,high,same,either,other,regular,regular,0
59,Laid-out Gienger,,Swing fwd and salto bwd with 1/2 turn (180 deg) stretched to hang on HB,3.505,E,5,Release Moves,,Giant,1,0,high,same,either,other,regular,regular,0
60,Gienger 1/1,Def,Swing fwd and salto bwd stretched with 1 1/2 turn (540 deg) to hang on HB,3.705,G,7,Release Moves,,Giant,1,0,high,same,either,other,regular,regular,0
61,Giant circle fwd ,,Giant circle fwd in reverse grip to hstd,3.206,B,2,Pirouettes,,Giant,0,0,high,same,either,same,reverse,reverse,0
62,Giant circle fwd 1/2,,Giant circle fwd in reverse grip 1/2 turn (180 deg) to hstd,3.206,B,2,Pirouettes,,Giant,1,0,high,same,either,other,reverse,regular,0
63,Giant circle fwd 1/1,,Giant circle fwd with 1/1 turn (360 deg) to hstd,3.306,C,3,Pirouettes,,Giant,1,1,high,same,either,same,reverse,reverse,0
64,Giant circle fwd 3/2,,Giant circle fwd in reverse grip with 1 1/2 turn (540 deg) to hstd,3.506,E,5,Pirouettes,,Giant,1,1,high,same,either,other,reverse,regular,0
65,Healy,Healy,Giant circle fwd in reverse grip to hstd with initiation of 1/1 turn (360 deg) on one arm before hstd phase,3.506,E,5,Pirouettes,,Giant,1,1,high,same,either,other,reverse,L,0
66,Healy 1/2,Healy 1/2,Giant circle fwd in reverse grip with 1 1/2 turn (540 deg) to hstd,3.506,E,5,Pirouettes,,Giant,1,1,high,same,either,other,reverse,regular,0
67,Ezhova,,Swing bwd release and 1/2 turn (180 deg) in flight between the bars to catch LB in hang,3.407,D,4,Transitions,,Giant,1,0,high,other,high,other,reverse/L,regular,0
68,Tucked Jaeger,,Swing bwd salto fwd tucked to hang on HB,3.308,C,3,Release Moves,,Giant,0,0,high,same,low,same,reverse/L,regular,0
69,Straddled Jaeger,,Jaeger Salto straddled to hang on HB,3.408,D,4,Release Moves,,Giant,0,0,high,same,low,same,reverse/L,regular,0
70,Piked Jaeger,,Jaeger Salto piked to hang on HB,3.508,E,5,Release Moves,,Giant,0,0,high,same,low,same,reverse/L,regular,0
71,Jaeger 1/2,,Jaeger Salto straddled with 1/2 turn (180 deg) to hang on HB,3.508,E,5,Release Moves,,Giant,1,0,high,same,low,other,reverse/L,reverse/L,0
72,Laid-out Jaeger,,Jaeger Salto stretched to hang on HB,3.608,F,6,Release Moves,,Giant,0,0,high,same,low,same,reverse/L,regular,0
73,Front tuck over HB,Mo,Swing bwd with salto fwd tucked over HB to hang on HB,3.708,G,7,Release Moves,,Giant,0,0,high,same,low,same,reverse/L,reverse/L,0
74,Markelov,,Swing bwd with 1/2 turn (180 deg) and straddle flight bwd over HB to catch HB,3.409,D,4,Release Moves,,Giant,1,0,high,same,either,other,reverse/L,regular,0
75,Giant circle fwd in L grip,,Giant circle fwd in L grip with piked or stretched body (L grip giant),3.31,C,3,Pirouettes,,Giant,0,0,high,same,either,same,L,L,0
76,Giant circle fwd 1/2 in L grip,,Giant circle fwd in L grip with piked or stretched body (L grip giant) with 1/2 turn (180 deg) to hstd,3.31,C,3,Pirouettes,,Giant,1,0,high,same,either,other,L,regular,0
77,Giant circle fwd 1/1 in L grip,,Giant circle fwd in L grip with 1/1 turn (360 deg) to hstd,3.41,D,4,Pirouettes,,Giant,1,1,high,same,either,same,L,L,0
78,Giant circle fwd 3/2 in L grip,,Giant circle fwd in L grip with 1 1/2 turn (540 deg) to hstd,3.51,E,5,Pirouettes,,Giant,1,1,high,same,either,other,L,regular,0
79,Ono,,Giant circle fwd in L grip with initiation of 1/1 turn (360 deg) on 1 arm before hstd phase,3.51,E,5,Pirouettes,,Giant,1,1,high,same,either,same,L,reverse,0
80,Ono 1/2,,Giant circle fwd in L grip with 1 1/2 turn (540 deg) with initiation of 1/1 turn (360 deg) on 1 arm before hstd phase,3.51,E,5,Pirouettes,,Giant,1,1,high,same,either,other,L,regular,0
81,Ling,,Giant circle fwd in L grip with initiation of 1/1 turn (360 deg) on 1 arm before hstd phase,3.51,E,5,Pirouettes,,Giant,1,1,high,same,either,same,L,L,0
82,Ling 1/2,,Giant circle fwd in L grip with 1 1/2 turn (540 deg) with initiation of 1/1 turn (360 deg) on 1 arm before hstd phase,3.51,E,5,Pirouettes,,Giant,1,1,high,same,either,same,L,L,0
83,Stalder fwd,Endo,Stalder fwd to hstd,4.301,C,3,Pirouettes,,Stalder fwd,0,0,either,same,either,same,reverse,reverse,0
84,Stalder fwd 1/2,Endo 1/2,Stalder fwd with 1/2 turn (180 deg) to hstd,4.301,C,3,Pirouettes,,Stalder fwd,1,0,either,same,either,other,reverse,regular,0
85,Stalder fwd 1/1,Endo 1/1,Stalder fwd with 1/1 turn (360 deg) to hstd,4.401,D,4,Pirouettes,,Stalder fwd,1,1,either,same,either,same,reverse,reverse,0
86,Stalder Tkatchev,Ricna,Clear straddle circle bwd on HB with flight fwd to hstd on LB,4.502,E,5,Release Moves,,Stalder bwd,0,0,high,same,either,same,regular,regular,0
87,Inbar Tkatchev,Galante,Clear pike Circle bwd with counter straddle (open hip before flight) – reverse Hecht over HB to hang,4.502,E,5,Release Moves,,Inbar bwd,0,0,high,same,either,same,regular,regular,0
