id,name,nickname,description,code,alphaVal,numVal,acro,cat,subcat,hits180,canConnect,hasFullTwist,isDoubleSalto,isAerial,receivesCreditOnce
0,Split leap,,Split leap fwd (leg separation 180 deg),1.101,A,1,0,Leaps,,1,1,0,0,0,0
1,Split leap 1/2,,Split leap with 1/2 turn (180 deg),1.201,B,2,0,Leaps,,1,1,0,0,0,0
2,Split leap 1/1,,Split leap with 1/1 turn (360 deg),1.301,C,3,0,Leaps,,1,1,0,0,0,1
3,Leap 3/4 into straddle leap 1/4,,Leap fwd with 3/4 turn (90 deg) into straddle pike position with 1/4 turn (90 deg),1.301,C,3,0,Leaps,,1,1,0,0,0,1
4,Split leap 3/2,,Split leap with 1 1/2 turn (540 deg),1.401,D,4,0,Leaps,,1,1,0,0,0,0
5,Tour Jete,,Fouette Hop with leg change to cross split (leg separation 180 deg),1.202,B,2,0,Leaps,,1,1,0,0,0,1
6,Tour Jete to ring,,Fouette Hop with leg change to ring position (leg separation 180 deg),1.202,B,2,0,Leaps,,1,1,0,0,0,1
7,Split Leap 1/1 to sit,,Split leap with 1/1 turn (360 deg) to land in split sit position,1.302,C,3,0,Leaps,,1,0,0,0,0,0
8,Tuck jump to split,,Tuck jump with separation of legs to cross split (180 deg) during flight phase,1.103,A,1,0,Jumps,,0,1,0,0,0,0
9,Butterfly fwd,,Butterfly fwd torso parallel to floor; slightly arched; legs straddled and feet above hip height during flight,1.203,B,2,0,Leaps,,0,1,0,0,0,1
10,Butterfly bwd,,Butterfly bwd torso parallel to floor; slightly arched; legs straddled and feet above hip height during flight,1.203,B,2,0,Leaps,,0,1,0,0,0,1
11,Leap 1/4 into straddle,,Leap fwd with 1/4 turn (90 deg) into straddle pike position (both legs above horizontal) to land on one or both feet,1.104,A,1,0,Leaps,,1,1,0,0,0,1
12,Leap 1/4 into side split,,Leap fwd with 1/4 turn (90 deg) into side split position (both legs above horizontal) to land on one or both feet,1.104,A,1,0,Leaps,,1,1,0,0,0,1
13,Johnson,,Switch leap with 1/4 turn (90 deg) to side split or to straddle pike position (both legs above horizontal),1.204,B,2,0,Leaps,,1,1,0,0,0,0
14,Switch leap 1/2,,Switch leap with 1/2 turn (90 deg) in flight phase ,1.304,C,3,0,Leaps,,1,1,0,0,0,1
15,Johnson 1/2,,Johnson with additional 1/2 turn (90 deg),1.304,C,3,0,Leaps,,1,1,0,0,0,1
16,Switch leap 1/1,,Switch leap with 1/1 turn (360 deg) in flight phase ,1.404,D,4,0,Leaps,,1,1,0,0,0,1
17,Johnson 1/1,,Johnson with additional 1/1 turn (360 deg),1.404,D,4,0,Leaps,,1,1,0,0,0,1
18,Stride leap to wolf,,Stride leap fwd with change of legs to wolf position,1.105,A,1,0,Leaps,,0,1,0,0,0,0
19,Switch leap,,Leap fwd with leg change (free leg swing to 45û) to cross split (180 deg separation < after leg change),1.205,B,2,0,Leaps,,1,1,0,0,0,0
20,Switch ring,,Switch leap to ring position (180 deg separation of legs),1.305,C,3,0,Leaps,,1,1,0,0,0,0
21,Switch ring 1/2,,Switch leap to Ring position with 1/2 turn (90 deg),1.405,D,4,0,Leaps,,1,1,0,0,0,0
22,Pike jump,,Pike jump (hip < 90 deg),1.106,A,1,0,Jumps,,0,1,0,0,0,0
23,Sheep jump,,Jump with upper back arch and head release with feet almost touching head,1.206,B,2,0,Jumps,,0,1,0,0,0,0
24,Pike jump 1/1,,Pike jump (hip < 90 deg) with 1/1 turn (360 deg),1.306,C,3,0,Jumps,,0,1,0,0,0,0
25,Straddle jump,,Straddle pike jump (both legs above horizontal),1.107,A,1,0,Jumps,,1,1,0,0,0,1
26,Side split jump,,Side split jump (leg separation 180û),1.107,A,1,0,Jumps,,1,1,0,0,0,1
27,Straddle jump 1/2,,Straddle pike or side split jump with 1/2 turn (90 deg),1.207,B,2,0,Jumps,,1,1,0,0,0,1
28,Split jump 1/2,,Split Jump with 1/2 turn (90 deg),1.207,B,2,0,Jumps,,1,1,0,0,0,1
29,Straddle jump 1/1,,Straddle pike or side split jump with 1/1 turn (360 deg),1.307,C,3,0,Jumps,,1,1,0,0,0,1
30,Split jump 1/1,,Split Jump with 1/1 turn (360 deg),1.307,C,3,0,Jumps,,1,1,0,0,0,1
